name,cost,position,points,ppd,roi
Nikolaj Ehlers,2850000,F,61,46721,0.000021404
Brendan Smith,1000000,D,15,66667,0.000015000
Mark Stone,2820000,F,53,53208,0.000018794
Matthew Beniers,2680000,C,37,72432,0.000013806
Evan Rodrigues,1810000,F,39,46410,0.000021547
TJ Brodie,1130000,D,26,43462,0.000023009
Kevin Fiala,3750000,F,73,51370,0.000019467
Brock Faber,2580000,D,47,54894,0.000018217
Erik Johnson,1000000,D,6,166667,0.000006000
J.J. Moser,1430000,D,26,55000,0.000018182
Nicolas Deslauriers,1000000,F,4,250000,0.000004000
Jonas Siegenthaler,1000000,D,9,111111,0.000009000
Noah Dobson,3700000,D,70,52857,0.000018919
Kyle Palmieri,2240000,F,54,41481,0.000024107
Brayden Pachal,1000000,D,7,142857,0.000007000
Sean Couturier,1960000,C,38,51579,0.000019388
Jack Eichel,3900000,C,68,57353,0.000017436
Nick Foligno,1320000,F,37,35676,0.000028030
Connor Zary,1770000,F,34,52059,0.000019209
Jordan Spence,1230000,D,24,51250,0.000019512
Max Domi,2290000,C,47,48723,0.000020524
Jeff Skinner,2960000,F,46,64348,0.000015541
Egor Zamula,1190000,D,21,56667,0.000017647
Jake DeBrusk,2200000,F,40,55000,0.000018182
John-Jason Peterka,2870000,F,50,57400,0.000017422
Gabriel Vilardi,1860000,F,36,51667,0.000019355
Mattias Samuelsson,1000000,D,7,142857,0.000007000
Mikael Granlund,2530000,C,60,42167,0.000023715
Matthew Boldy,3440000,F,69,49855,0.000020058
Jack Hughes,4180000,C,74,56486,0.000017703
Thomas Bordeleau,1500000,C,11,136364,0.000007333
Jesper Bratt,3960000,F,83,47711,0.000020960
Logan Cooley,2420000,C,44,55000,0.000018182
Christian Dvorak,1000000,F,9,111111,0.000009000
Alexandre Carrier,1100000,D,20,55000,0.000018182
Yakov Trenin,1010000,F,17,59412,0.000016832
Alex Iafallo,1590000,F,27,58889,0.000016981
Ondrej Palat,1490000,F,31,48065,0.000020805
Kailer Yamamoto,1150000,F,16,71875,0.000013913
Filip Forsberg,4100000,C,94,43617,0.000022927
Erik Cernak,1000000,D,13,76923,0.000013000
Thomas Harley,2090000,D,47,44468,0.000022488
Warren Foegele,1800000,F,41,43902,0.000022778
Anthony Mantha,1780000,F,44,40455,0.000024719
Kasperi Kapanen,1390000,F,22,63182,0.000015827
Valtteri Puustinen,1480000,F,20,74000,0.000013514
